"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","Авторизация","0","0","","0"
"1","","0","Test","0","0","","0"
"2","","0","Login","0","0","Login with valid credentials","0"
