"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1163","Close Sign up modal by clicking on different buttons","tests","Wed Aug 20 16:56:24 UTC 2025","passed","Wed Aug 20 16:56:25 UTC 2025","TestSignupPage","test_signup_page","",""
"","458","Verify that cart page elements are displayed","tests","Wed Aug 20 16:56:20 UTC 2025","passed","Wed Aug 20 16:56:20 UTC 2025","TestCartPage","test_cart_page_no_auth","",""
"","1157","Close Sign up modal by clicking on different buttons","tests","Wed Aug 20 16:56:25 UTC 2025","passed","Wed Aug 20 16:56:27 UTC 2025","TestSignupPage","test_signup_page","",""
"","2735","Sign up and then login as a newly created user","tests","Wed Aug 20 16:56:27 UTC 2025","passed","Wed Aug 20 16:56:29 UTC 2025","TestSignupPage","test_signup_page","",""
"","2250","Test adding a random item to the cart without authentication","tests","Wed Aug 20 16:56:20 UTC 2025","passed","Wed Aug 20 16:56:22 UTC 2025","TestCartPage","test_cart_page_no_auth","",""
"","1733","Login as an existing user","tests","Wed Aug 20 16:56:22 UTC 2025","passed","Wed Aug 20 16:56:24 UTC 2025","TestLoginPage","test_login_page","",""
