"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","306","Авторизация с недействительными учетными данными","tests","Thu Apr 17 17:08:55 GMT 2025","passed","Thu Apr 17 17:08:55 GMT 2025","","test_login_demo","",""
"","233","Авторизация с корректными учетными данными","tests","Thu Apr 17 17:08:55 GMT 2025","passed","Thu Apr 17 17:08:56 GMT 2025","","test_login_demo","",""
"","129","Test","tests","Thu Apr 17 17:08:56 GMT 2025","passed","Thu Apr 17 17:08:56 GMT 2025","","test_login_demo","",""
"","252","Авторизация с корректными учетными данными","tests","Thu Apr 17 17:08:55 GMT 2025","passed","Thu Apr 17 17:08:55 GMT 2025","","test_login_demo","",""
