"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1112","Login as an existing user","tests","Sat May 31 13:08:58 GMT 2025","passed","Sat May 31 13:08:59 GMT 2025","TestLoginPage","test_login_page","",""
"","311","test_check_page_opened[chromium]","tests","Sat May 31 13:08:56 GMT 2025","passed","Sat May 31 13:08:57 GMT 2025","TestCartPage","test_cart_page_no_auth","",""
"","1105","Close sign up modal by clicking on Close button","tests","Sat May 31 13:09:00 GMT 2025","passed","Sat May 31 13:09:02 GMT 2025","TestSignupPage","test_signup_page","",""
"","2079","Sign up and then login as a newly created user","tests","Sat May 31 13:09:02 GMT 2025","passed","Sat May 31 13:09:04 GMT 2025","TestSignupPage","test_signup_page","",""
"","1201","test_item_added_to_cart[chromium]","tests","Sat May 31 13:08:57 GMT 2025","passed","Sat May 31 13:08:58 GMT 2025","TestCartPage","test_cart_page_no_auth","",""
"","1121","Close sign up modal by clicking on x button","tests","Sat May 31 13:08:59 GMT 2025","passed","Sat May 31 13:09:00 GMT 2025","TestSignupPage","test_signup_page","",""
