"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2547","Sign up and then login as a newly created user","tests","Sat May 31 13:12:12 GMT 2025","passed","Sat May 31 13:12:15 GMT 2025","TestSignupPage","test_signup_page","",""
"","1901","Login as an existing user","tests","Sat May 31 13:12:08 GMT 2025","passed","Sat May 31 13:12:10 GMT 2025","TestLoginPage","test_login_page","",""
"","409","test_check_page_opened[chromium]","tests","Sat May 31 13:12:06 GMT 2025","passed","Sat May 31 13:12:07 GMT 2025","TestCartPage","test_cart_page_no_auth","",""
"","1363","test_item_added_to_cart[chromium]","tests","Sat May 31 13:12:07 GMT 2025","passed","Sat May 31 13:12:08 GMT 2025","TestCartPage","test_cart_page_no_auth","",""
"","1177","Close sign up modal by clicking on x button","tests","Sat May 31 13:12:10 GMT 2025","passed","Sat May 31 13:12:11 GMT 2025","TestSignupPage","test_signup_page","",""
"","1159","Close sign up modal by clicking on Close button","tests","Sat May 31 13:12:11 GMT 2025","passed","Sat May 31 13:12:12 GMT 2025","TestSignupPage","test_signup_page","",""
