"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1168","Close sign up modal by clicking on Close button","tests","Sun May 25 09:45:24 GMT 2025","passed","Sun May 25 09:45:25 GMT 2025","TestSignupPage","test_signup_page","",""
"","1368","Close sign up modal by clicking on x button","tests","Sun May 25 09:45:23 GMT 2025","passed","Sun May 25 09:45:24 GMT 2025","TestSignupPage","test_signup_page","",""
"","1728","Login as an existing user","tests","Sun May 25 09:45:21 GMT 2025","passed","Sun May 25 09:45:23 GMT 2025","TestLoginPage","test_login_page","",""
"","2566","Sign up and then login as a newly created user","tests","Sun May 25 09:45:25 GMT 2025","passed","Sun May 25 09:45:28 GMT 2025","TestSignupPage","test_signup_page","",""
"","482","test_check_page_opened[chromium]","tests","Sun May 25 09:45:20 GMT 2025","passed","Sun May 25 09:45:21 GMT 2025","TestCartPage","test_cart_page_no_auth","",""
