"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","247","Авторизация с корректными учетными данными","tests","Fri Apr 11 08:52:08 GMT 2025","passed","Fri Apr 11 08:52:09 GMT 2025","","test_login","",""
"","258","Авторизация с корректными учетными данными","tests","Fri Apr 11 08:52:08 GMT 2025","passed","Fri Apr 11 08:52:08 GMT 2025","","test_login","",""
"","182","Авторизация с недействительными учетными данными","tests","Fri Apr 11 08:52:08 GMT 2025","passed","Fri Apr 11 08:52:08 GMT 2025","","test_login","",""
