"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","764","test_check_page_opened[chromium]","tests","Sun May 25 09:43:06 GMT 2025","passed","Sun May 25 09:43:06 GMT 2025","TestCartPage","test_cart_page_no_auth","",""
"","2560","Sign up and then login as a newly created user","tests","Sun May 25 09:43:11 GMT 2025","passed","Sun May 25 09:43:13 GMT 2025","TestSignupPage","test_signup_page","",""
"","1321","Close sign up modal by clicking on x button","tests","Sun May 25 09:43:08 GMT 2025","passed","Sun May 25 09:43:10 GMT 2025","TestSignupPage","test_signup_page","",""
"","1865","Login as an existing user","tests","Sun May 25 09:43:06 GMT 2025","passed","Sun May 25 09:43:08 GMT 2025","TestLoginPage","test_login_page","",""
"","1237","Close sign up modal by clicking on Close button","tests","Sun May 25 09:43:10 GMT 2025","passed","Sun May 25 09:43:11 GMT 2025","TestSignupPage","test_signup_page","",""
