"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1729","Login as an existing user","tests","Wed Jun 04 21:43:23 GMT 2025","passed","Wed Jun 04 21:43:25 GMT 2025","TestLoginPage","test_login_page","",""
"","1323","Close sign up modal by clicking on Close button","tests","Wed Jun 04 21:43:27 GMT 2025","passed","Wed Jun 04 21:43:28 GMT 2025","TestSignupPage","test_signup_page","",""
"","2219","Test adding a random item to the cart without authentication","tests","Wed Jun 04 21:43:21 GMT 2025","passed","Wed Jun 04 21:43:23 GMT 2025","TestCartPage","test_cart_page_no_auth","",""
"","1293","Close sign up modal by clicking on x button","tests","Wed Jun 04 21:43:25 GMT 2025","passed","Wed Jun 04 21:43:27 GMT 2025","TestSignupPage","test_signup_page","",""
"","486","Verify that cart page elements are displayed","tests","Wed Jun 04 21:43:21 GMT 2025","passed","Wed Jun 04 21:43:21 GMT 2025","TestCartPage","test_cart_page_no_auth","",""
"","3127","Sign up and then login as a newly created user","tests","Wed Jun 04 21:43:28 GMT 2025","passed","Wed Jun 04 21:43:31 GMT 2025","TestSignupPage","test_signup_page","",""
