"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1105","Close sign up modal by clicking on Close button","tests","Wed Jun 04 16:10:55 GMT 2025","passed","Wed Jun 04 16:10:56 GMT 2025","TestSignupPage","test_signup_page","",""
"","842","test_check_page_opened[chromium]","tests","Wed Jun 04 16:10:20 GMT 2025","passed","Wed Jun 04 16:10:21 GMT 2025","TestCartPage","test_cart_page_no_auth","",""
"","30989","test_item_added_to_cart[chromium]","tests","Wed Jun 04 16:10:21 GMT 2025","broken","Wed Jun 04 16:10:52 GMT 2025","TestCartPage","test_cart_page_no_auth","",""
"","2008","Sign up and then login as a newly created user","tests","Wed Jun 04 16:10:56 GMT 2025","passed","Wed Jun 04 16:10:58 GMT 2025","TestSignupPage","test_signup_page","",""
"","1109","Close sign up modal by clicking on x button","tests","Wed Jun 04 16:10:54 GMT 2025","passed","Wed Jun 04 16:10:55 GMT 2025","TestSignupPage","test_signup_page","",""
"","1891","Login as an existing user","tests","Wed Jun 04 16:10:52 GMT 2025","passed","Wed Jun 04 16:10:54 GMT 2025","TestLoginPage","test_login_page","",""
