"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1108","Close sign up modal by clicking on Close button","tests","Thu May 22 20:22:42 GMT 2025","passed","Thu May 22 20:22:43 GMT 2025","TestSignupPage","test_signup_page","",""
"","1087","Close sign up modal by clicking on x button","tests","Thu May 22 20:22:41 GMT 2025","passed","Thu May 22 20:22:42 GMT 2025","TestSignupPage","test_signup_page","",""
"","1132","Login as an existing user","tests","Thu May 22 20:22:40 GMT 2025","passed","Thu May 22 20:22:41 GMT 2025","TestLoginPage","test_login_page","",""
"","390","test_check_page_opened[chromium]","tests","Thu May 22 20:22:40 GMT 2025","passed","Thu May 22 20:22:40 GMT 2025","TestCartPage","test_cart_page_no_auth","",""
"","1995","Sign up and then login as a newly created user","tests","Thu May 22 20:22:44 GMT 2025","passed","Thu May 22 20:22:46 GMT 2025","TestSignupPage","test_signup_page","",""
